address,city,id,name,state,type,x,y,zip,first_appearance,final_appearance,block_fips,tract_fips
1285 Sixth Ave.,New York,,Heartland Brewery at Radio City,NY,BrewPub,-73.9798489,40.7607402,10019,2005,2005,360610131001002,36061013100
35 Union Square W.,New York,608.0,Heartland Brewery at Union Square,NY,BrewPub,-73.9907857708,40.7372111234,10003,2006,2014,360610052002004,36061005200
35 Union Square West,New York,,Heartland Brewery at Union Square,NY,BrewPub,-73.9908393,40.7369091,10003,2005,2005,360610052002004,36061005200
2201 Sherman St.,Wausau,614.0,Hereford & Hops Restaurant & Brewpub,WI,BrewPub,-89.6629870284,44.9515328965,54401,2006,2008,550730006012011,55073000601
2201 Sherman Street,Wausau,,Hereford & Hops Restaurant & Brewpub,WI,BrewPub,-89.6621525,44.9518397,54401,2005,2005,550730006012011,55073000601
2922 Lyndale Ave. South,Minneapolis,615.0,Herkimer Pub & Brewery ,MN,BrewPub,-93.2882960532,44.9495856734,55408,2006,2015,270530077002015,27053007700
2922 Lyndale Avenue ,South Minneapolis,,Herkimer Pub & Brewery ,MN,BrewPub,-93.2885127,44.9491662,55408,2005,2005,270530077002015,27053007700
445 Saint Paul Street,Rochester,,High Falls Brewing Co.,NY,MicroBrewery,-77.6148867,43.1642083,14605,2005,2005,360550092001014,36055009200
206 Choctaw Street,Leavenworth,,High Noon Saloon & Brewery,KS,BrewPub,-94.9111194,39.3169425,66048,2005,2005,201030701001044,20103070100
206 Choctaw St.,Leavenworth,620.0,High Noon Saloon & Brewery,KS,BrewPub,-94.9104985297,39.3169758832,66048,2006,2015,201030701001044,20103070100
313 Dousman St.,Green Bay,629.0,Hinterland Brewery Restaurant Lounge,WI,BrewPub,-88.0194679069,44.5190051431,54303,2006,2015,550090008001004,55009000800
313 Dousman Street,Green Bay,,Hinterland Brewery Restaurant Lounge,WI,BrewPub,-88.019631,44.5189329,54303,2005,2005,550090008001004,55009000800
114 J St. ,Sacramento,632.0,Hogshead Brewery & Pub ,CA,BrewPub,-121.505081338,38.5832337178,95814,2006,2006,060670007001019,06067000700
