address,city,id,name,state,type,x,y,zip,first_appearance,final_appearance,block_fips,tract_fips
115 Joe Nuxhall Way,Cincinnati,1845.0,Moerlein Lager House,OH,BrewPub,-84.508319,39.09598,45202,2013,2015,390610265002096,39061026500
Main St. & Mehring Way,Cincinnati,1845.0,Moerlein Lager House @ Smale Riverfront Park,OH,BrewPub,-84.508319,39.09598,45202,2012,2012,390610265002096,39061026500
1055 Madera St.,Eugene,1855.0,Oakshire Brewing,OR,MicroBrewery,-123.140966,44.072944,97402,2009,2015,410390042001022,41039004200
"1574 Coburg Road, Box 226",Eugene,1855.0,Willamette Brewery,OR,MicroBrewery,-123.068378,44.079542,97401,2008,2008,410390029021018,41039002902
1st St NW & Marble Ave.,Albuquerque,1871.0,Marble Brewery,NM,MicroBrewery,-106.6464,35.0925,87102,2009,2009,350010027001081,35001002700
111 Marble Ave. NW,Albuquerque,1871.0,Marble Brewery,NM,MicroBrewery,-106.6464,35.0925,87102,2010,2015,350010027001081,35001002700
574-580 N. Cameron St.,Winchester,1893.0,Virginia Brewing Co.,VA,MicroBrewery,-78.161081,39.191482,22601,2009,2010,518400001001012,51840000100
536-590 North Cameron St.,Winchester,1893.0,Virginia Brewing Co.,VA,MicroBrewery,-78.161081,39.191482,22601,2008,2008,518400001001012,51840000100
"6220 Leesburg Pike, Seven Corners Shopping Center",Falls Church,1903.0,Dogfish Head Alehouse,VA,BrewHouse,-77.151803,38.867171,22044,2010,2015,510594515012007,51059451501
6363 Seven Corners Shopping Center,Falls Church,1903.0,Dogfish Head Alehouse,VA,BrewHouse,-77.1984,38.8665,22042,2008,2009,510594502001012,51059450200
325 W. 3rd Ave.,Kettle Falls,1905.0,Northern Ales,WA,MicroBrewery,-118.0602814,48.6106622,99141,2011,2015,530659501003004,53065950100
118 Center Ave.,Northport,1905.0,Northern Ales,WA,MicroBrewery,-117.777931,48.917611,99157,2008,2010,530659501001117,53065950100
2120 Porterfield Way,Upland,1916.0,Dale Bros. Brewery,CA,MicroBrewery,-105.550567,38.997934,91786,2013,2015,080930005001085,08093000500
1495 W. 9th St.,Upland,1916.0,Dale Bros. Brewery,CA,MicroBrewery,-117.678031,34.096137,91786,2008,2012,060710008233016,06071000823
16279 Highway 101 South,Brookings-Harbor,1930.0,Wild River Pizza,OR,BrewHouse,-124.2348,42.1311,97415,2008,2013,410159503012044,41015950301
16279 Highway 101 South,Brookings,1930.0,Wild River Pizza,OR,BrewHouse,-124.2348,42.1311,97415,2014,2015,410159503012044,41015950301
124 W. Broadway St.,Butte,1946.0,Quarry Brewing @ the Grand Hotel,MT,MicroBrewery,-112.53849,46.013436,59701,2013,2015,300930001004021,30093000100
45 West Galena St.,Butte,1946.0,Quarry Brewing,MT,MicroBrewery,-112.536397,46.012166,59701,2008,2012,300930001004027,30093000100
557 N. Mill St.,Aspen,1965.0,Aspen Brewing Co.,CO,MicroBrewery,-106.817582,39.194168,81611,2009,2011,080970004011032,08097000401
304 E. Hopkins Ave.,Aspen,1965.0,Aspen Brewing Co.,CO,MicroBrewery,-106.820522,39.190049,81611,2012,2015,080970004022010,08097000402
7020 Easy Wind Dr.,Austin,1974.0,Black Star Co-op Pub & Brewery,TX,BrewPub,-97.750462,30.377992,78757,2011,2015,484530017071003,48453001707
N. Lamar Blvd. and St. Johns Ave. (Midtown Commons),Austin,1974.0,Black Star Co-op Pub & Brewery,TX,BrewPub,-97.733673,30.35322,78757,2010,2010,484530015011001,48453001501
3438 East Lake Business,Palm Harbor,1981.0,Lagerhaus Brewery & Grill,FL,BrewPub,-82.708026,28.060911,34685,2010,2015,121030273262017,12103027326
3438 East Lake Rd.,Palm Harbor,1981.0,Lagerhaus Brewery & Grill,FL,BrewPub,-82.694517,28.096794,34685,2008,2008,121030273101029,12103027310
62 Maple St.,Danvers,1984.0,Cody Brewing Co. Ale House,MA,BrewPub,-70.937012,42.566936,01923,2008,2009,250092112004025,25009211200
36 Main St.,Amesbury,1984.0,Cody Brewing Co.,MA,MicroBrewery,-70.93069,42.857319,01913,2011,2015,250092663003029,25009266300
334 N. 25th Ave.,Phoenix,2016.0,Old World Brewery,AZ,MicroBrewery,-112.113567,33.452284,85009,2011,2015,040131168001039,04013116800
201 W. Lone Cactus Dr.,Phoenix,2016.0,Old World Brewery,AZ,MicroBrewery,-112.076252,33.680694,85027,2009,2010,040136147001061,04013614700
3725 W Sunset Blvd.,Los Angeles,2032.0,Good Microbrew & Grill,CA,BrewPub,-118.278005,34.090756,90026,2008,2010,060371954002012,06037195400
1605 S. College Ave.,Fort Collins,2032.0,Black Bottle Brewery,CO,BrewPub,-105.077069,40.566845,80525,2013,2015,080690009011011,08069000901
1124 NW 51st St.,Oklahoma City,2052.0,COOP Ale Works,OK,MicroBrewery,-97.530535,35.523588,73118,2012,2015,401091001001021,40109100100
1114 NW 51st St.,Oklahoma City,2052.0,COOP Ale Works,OK,MicroBrewery,-97.530322,35.52346,73118,2009,2011,401091001001021,40109100100
9320 15th Ave S.,Seattle,2057.0,Laughing Buddha Brewing Co.,WA,MicroBrewery,-122.313433,47.519316,98108,2008,2011,530330264001029,53033026400
1091 Valentine Ave. SE,Pacific,2057.0,Trade Route Brewing Co.,WA,MicroBrewery,-122.248695,47.248581,98047,2010,2015,530530733013033,53053073301
1812 Ferdinand Ct.,Santa Rosa,2060.0,Russian River Brewing Co.,CA,MicroBrewery,-122.70957,38.422045,95404,2009,2011,060971514021010,06097151402
2401 Edwards St.,Granite City,2060.0,Jacobsmeyer Tavern,IL,BrewPub,-90.131527,38.704949,62040,2013,2015,171194001024010,17119400102
200 Willard St.,Wilmington,2073.0,Wolf Beer Co.,NC,MicroBrewery,-77.945643,34.214868,28401,2011,2014,371290113002032,37129011300
3505 N. Kerr Rd.,Wilmington,2073.0,Wolf Beer Co.,NC,MicroBrewery,-77.915177,34.288629,28405,2010,2010,371290115004019,37129011500
4700 Ohio Ave. South,Seattle,2107.0,Two Beers Brewing Co.,WA,MicroBrewery,-122.338128,47.560571,98134,2011,2015,530330093003188,53033009300
819 N. 49th St.,Seattle,2107.0,Two Beers Brewing Co.,WA,MicroBrewery,-122.348264,47.6641,98103,2009,2010,530330049001012,53033004900
3028-3034 Village Park Dr.,Plover,2111.0,O'so Brewing Co. / O'so Tap House,WI,MicroBrewery,-89.523419,44.452788,54467,2013,2015,550979607011079,55097960701
1812 Post Rd.,Plover,2111.0,O'so Brewing Co.,WI,MicroBrewery,-89.547093,44.471046,54467,2009,2012,550979607012059,55097960701
451 S. High St. #B,Akron,2144.0,Ohio Brewing Co.,OH,MicroBrewery,-81.52218,41.073122,44311,2012,2013,391535068001043,39153506800
222 S. Main St.,Akron,2144.0,Ohio Brewing Co. Pub & Grille,OH,BrewPub,-81.520444,41.07925,44308,2009,2011,391535083011026,39153508301
717 E. Bridge St.,Plainwell,2167.0,Old Mill Brewpub & Grill,MI,BrewPub,-85.631512,42.442868,49080,2014,2015,260050321001010,26005032100
760 Harmon Ave.,Columbus,2167.0,Hoster Brewing Co.,OH,MicroBrewery,-83.016064,39.944383,43223,2009,2011,390490051001012,39049005100
7000 Windsor Rd.,Windsor,2196.0,Old Redwood Brewing Co.,CA,MicroBrewery,-122.816811,38.523303,95492,2013,2015,060971538012071,06097153801
445 St. Paul St.,Rochester,2196.0,High Falls Brewing Co.,NY,MicroBrewery,-77.614077,43.164524,14605,2009,2011,360550092001014,36055009200
1309 Jefferson St.,Lynchburg,2202.0,Jefferson Street Brewery @ Waterstone,VA,BrewPub,-79.137755,37.412556,24504,2010,2015,516800005001046,51680000500
1312 Commerce St.,Lynchburg,2202.0,Waterstone @ the Craddock Terry Hotel,VA,BrewPub,-79.138122,37.411883,24504,2009,2009,516800005001046,51680000500
200 Mosby's Run,Beech Grove,2203.0,Devil's Backbone Brewing Co.,VA,BrewPub,-78.918486,37.881425,22967,2009,2011,511259502001023,51125950200
200 Mosby's Run,Roseland,2203.0,Devil's Backbone Brewing Co.,VA,BrewPub,-78.919099,37.871219,22967,2012,2015,511259503002000,51125950300
530 Mahoning Ave.,Youngstown,2234.0,Rust Belt Brewing Co.,OH,MicroBrewery,-80.657209,41.102,44502,2009,2014,390998139003000,39099813900
112 W. Commerce St.,Youngstown,2234.0,Rust Belt Brewing Co.,OH,Brewery,-80.6501498,41.1017943,44503,2015,2015,390998137004021,39099813700
315 Importing St. (State Rte 56),Aurora,2280.0,Great Crescent Brewery,IN,MicroBrewery,-84.9013402,39.0570022,47001,2011,2015,180290805002058,18029080500
327 Second St.,Aurora,2280.0,Great Crescent Brewery,IN,MicroBrewery,-84.900248,39.056443,47001,2009,2010,180290805002066,18029080500
155 N. Gibson Rd.,Henderson,2287.0,Joseph James Brewing Co.,NV,MicroBrewery,-115.029585,36.039001,89014,2014,2015,320030051094015,32003005109
155 N. Gibson,Henderson,2287.0,Joseph James Brewing Co.,NV,MicroBrewery,-115.029585,36.039001,89014,2009,2013,320030051094015,32003005109
2705 S. Water St. (SouthSide Works),Pittsburgh,2295.0,Hofbrauhaus Pittsburgh,PA,BrewPub,-79.977854,40.42614,15203,2013,2015,420031702004023,42003170200
SouthSide Works - 2705 S. Water St.,Pittsburgh,2295.0,Hofbrauhaus Pittsburgh,PA,BrewPub,-79.977854,40.42614,15203,2009,2012,420031702004023,42003170200
22410 US Highway 281 North,San Antonio,2313.0,BJ's Brewhouse,TX,BrewHouse,-98.448596,29.6494678,78259,2012,2015,480291219072080,48029121907
22406 US Highway 281 North,San Antonio,2313.0,BJ's Brewhouse,TX,BrewHouse,-98.451682,29.645586,78259,2009,2011,480291219052026,48029121905
13200 Dowell Rd.,Solomons,2322.0,Ruddy Duck Brewery & Grill,MD,BrewPub,-76.456219,38.34938,20688,2010,2014,240098609003005,24009860900
13200 Dowell Rd.,Dowell,2322.0,Ruddy Duck Brewery & Grill,MD,BrewPub,-76.456219,38.34938,20688,2015,2015,240098609003005,24009860900
7840 Doty Rd.,Madison,2323.0,Cellar Rats Brewery / Hop View Brewing,OH,BrewPub,-81.0062885,41.7404639,44057,2015,2015,390852059001016,39085205900
7743 Doty Rd.,Madison,2323.0,Cellar Rats Brewery (at Debonne Vineyards),OH,BrewPub,-81.010245,41.740732,44057,2009,2014,390852059001013,39085205900
525 East Cessna Ave.,Walla Walla,2328.0,Walla Walla Brewers,WA,MicroBrewery,-118.271613,46.087234,99362,2009,2011,530719202002045,53071920200
2900 Griffith St.,Charlotte,2328.0,Triple C Brewing Co.,NC,MicroBrewery,-80.869119,35.200972,28203,2013,2015,371190037002019,37119003700
