address,city,id,name,state,type,x,y,zip,first_appearance,final_appearance,block_fips,tract_fips
53 Spokane St.,Walla Walla,3475,Laht Neppur Brewing Co. Ale House,WA,BrewHouse,-118.336945,46.069092,99362,2012,2015,530719208021042,53071920802
444 Preston Ave. (Highway 12),Waitsburg,1860,Laht Neppur Brewing Co.,WA,BrewPub,-118.148781,46.269963,99361,2008,2015,530719201004081,53071920100
2000 Logston Blvd.,Richland,2908,White Bluffs Brewing,WA,MicroBrewery,-119.300559,46.318852,99354,2011,2015,530050102011054,53005010201
1015 Lee Blvd.,Richland,,Atomic Ale Brewpub and Eatery,WA,BrewPub,-119.277307,46.274522,99352,2005,2015,530050106001003,53005010600
2696 N. Columbia Center Blvd.,Richland,,Rattlesnake Mountain Brewing Co.,WA,BrewPub,-119.2218124,46.2376518,99352,2005,2015,530050108053007,53005010805
1118 Meade Ave.,Prosser,2757,Horse Heaven Hills Brewing Co.,WA,MicroBrewery,-119.770562,46.204862,99350,2011,2015,530050117003012,53005011700
1427 Wine Country Rd.,Prosser,1366,Whistran Brewing Co.,WA,BrewPub,-119.770659,46.210042,99350,2009,2015,530050117001081,53005011700
"2880 Lee Rd., #B",Prosser,,Whistran Brewing Co.,WA,MicroBrewery,-68.2742594,45.3599496,99350,2005,2008,230190245002090,23019024500
308 W. Kennewick Ave.,Kennewick,5157,Paper Street Alehouse,WA,BrewHouse,-119.1217464,46.2087388,99336,2015,2015,530050113002021,53005011300
206 N. Benton St.,Kennewick,,Ice Harbor Brewing Co.,WA,BrewPub,-119.1195886,46.2110566,99336,2005,2015,530050113001062,53005011300
148 E. Main St.,Dayton,,Skye Book and Brew,WA,BrewPub,-117.9814254,46.3193093,99328,2005,2015,530139602002066,53013960200
69204 N. SR 225,Benton City,2905,Two Sisters Brewery,WA,MicroBrewery,-119.493328,46.311119,99320,2013,2014,530050119004010,53005011900
5426 N. Road 68,Pasco,5390,Brews Taphouse & Growler Fills,WA,Brewery,-119.186989,46.276768,99301,2015,2015,530210206064000,53021020606
6501 N. Cedar Rd.,Spokane,4779,Waddell’s Brewpub & Grille,WA,BrewPub,-117.4330902,47.717289,99208,2014,2015,530630110003028,53063011000
6301 N. Division,Spokane,,Solicitor's Corner/Sweetwater Brewing Co.,WA,BrewPub,-117.411661,47.715273,99208,2005,2005,530630110003000,53063011000
11616 E. Montgomery Dr. #26,Spokane Valley,3163,Twelve String Brewing Co.,WA,MicroBrewery,-117.247762,47.677094,99206,2012,2015,530630117022009,53063011702
1003 E. Trent Ave.,Spokane,896,No-Li Brewhouse,WA,BrewPub,-117.394954495,47.6619270615,99202,2013,2015,530630025003030,53063002500
"2204 E. Mallon Ave., Suite B",Spokane,3840,Iron Goat Brewing,WA,MicroBrewery,-117.37797,47.665512,99202,2013,2015,530630145001005,53063014500
"1025 S. Perry St., #2",Spokane,4231,Perry Street Brewing Co.,WA,Brewery,-117.389927,47.646243,99202,2015,2015,530630031002004,53063003100
2018 E. Riverside Ave.,Spokane,3153,Budge Brothers Brewery,WA,MicroBrewery,-117.380837,47.658028,99202,2012,2015,530630145001054,53063014500
1003 E. Trent,Spokane,,Northern Lights Brewing Co.,WA,BrewPub,-117.3941365,47.6627883,99202,2005,2012,530630025003030,53063002500
730 N. Columbus St.,Spokane,4013,Ramblin' Road Craft Brewery,WA,MicroBrewery,-117.395225,47.663746,99202,2014,2015,530630025003026,53063002500
121 S. Cedar St.,Spokane,4014,River City Brewing Co.,WA,Brewery,-117.432491,47.655946,99201,2015,2015,530630036001007,53063003600
332 N. Spokane Falls Ct.,Spokane,,C.I. Shenanigans,WA,BrewPub,-117.4126204,47.6616799,99201,2005,2013,530630035002020,53063003500
159 S. Lincoln,Spokane,,Steam Plant Grill,WA,BrewPub,-117.4247942,47.655363,99201,2005,2015,530630035001050,53063003500
26 Clark Ave.,Republic,3152,Republic Brewing Co.,WA,MicroBrewery,-118.737858,48.648023,99166,2012,2015,530199702003126,53019970200
1335 SE Bishop Blvd.,Pullman,2600,Palouse Falls Brewing Co.,WA,MicroBrewery,-117.164155,46.719524,99163,2010,2013,530750004002053,53075000400
245 SE Paradise,Pullman,2956,Paradise Creek Brewery,WA,BrewPub,-117.1809181,46.7289335,99163,2011,2015,530750004002016,53075000400
205 N. 1st St.,Odessa,2374,Rocky Coulee Brewing Co.,WA,MicroBrewery,-118.689082,47.332194,99159,2009,2015,530439604002040,53043960400
118 Center Ave.,Northport,1905,Northern Ales,WA,MicroBrewery,-117.777931,48.917611,99157,2008,2010,530659501001117,53065950100
325 W. 3rd Ave.,Kettle Falls,1905,Northern Ales,WA,MicroBrewery,-118.0602814,48.6106622,99141,2011,2015,530659501003004,53065950100
